,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,DayOfMonth,WeekOfYear,weekday,MonthPeriod,Holiday,YearlyTerm
328361,418,3,2014-09-24,3489.0,445.0,1,0,No Holiday,0,a,a,1060.0,1,27.0,2011.0,"Feb,May,Aug,Nov",2014,9,24,39,1,2,0,2
1000857,373,2,2013-01-15,2999.0,236.0,1,0,No Holiday,0,d,c,11120.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",2013,1,15,3,1,1,0,0
425532,388,7,2014-06-15,0.0,0.0,0,0,No Holiday,0,a,a,2260.0,0,0.0,0.0,Not_Av,2014,6,15,24,0,1,0,1
621378,1109,7,2013-12-22,0.0,0.0,0,0,No Holiday,0,c,a,3490.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",2013,12,22,51,0,2,0,3
573085,761,1,2014-02-03,5651.0,1425.0,1,1,No Holiday,1,a,a,2390.0,0,0.0,0.0,Not_Av,2014,2,3,6,1,0,0,0
225116,1002,7,2015-01-11,0.0,0.0,0,0,No Holiday,0,d,c,1130.0,0,0.0,0.0,Not_Av,2015,1,11,2,0,1,0,0
395926,721,1,2014-07-14,7596.0,720.0,1,1,No Holiday,1,a,c,3590.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2014,7,14,29,1,1,0,2
364919,530,6,2014-08-16,7651.0,1308.0,1,0,No Holiday,0,a,c,18160.0,0,0.0,0.0,Not_Av,2014,8,16,33,0,1,0,2
33513,64,3,2015-07-01,10699.0,728.0,1,1,No Holiday,1,d,c,22560.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,1,27,1,0,0,2
941215,941,7,2013-03-10,0.0,0.0,0,0,No Holiday,0,a,a,1200.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2013,3,10,10,0,1,0,0
238520,328,1,2014-12-29,4838.0,547.0,1,0,No Holiday,1,a,a,3130.0,0,0.0,0.0,Not_Av,2014,12,29,1,1,2,0,3
650179,920,2,2013-11-26,4522.0,502.0,1,0,No Holiday,0,a,a,850.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2013,11,26,48,1,2,0,3
824218,1019,7,2013-06-23,0.0,0.0,0,0,No Holiday,0,d,c,2740.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2013,6,23,25,0,2,0,1
830480,591,1,2013-06-17,6962.0,598.0,1,1,No Holiday,0,a,c,3340.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2013,6,17,25,1,1,0,1
150271,862,4,2015-03-19,8556.0,1140.0,1,1,No Holiday,0,a,c,2840.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,3,19,12,1,1,0,0
293551,169,5,2014-10-31,8102.0,820.0,1,0,No Holiday,0,d,a,980.0,1,18.0,2014.0,"Feb,May,Aug,Nov",2014,10,31,44,1,2,0,3
276871,346,2,2014-11-18,6454.0,596.0,1,0,No Holiday,0,a,c,8090.0,0,0.0,0.0,Not_Av,2014,11,18,47,1,1,0,3
