time: 2022-05-24 00:52:27,785, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:52:28,265, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:52:28,746, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:52:30,128, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:52:30,673, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:52:33,312, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:52:33,457, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:52:35,173, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 00:52:37,754, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:52:39,940, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:52:48,299, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 00:53:00,568, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 00:53:10,526, function: compare_binom_dist, module: data_viz, message: double binomial distribution successfully created 

time: 2022-05-24 00:53:26,625, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:54:14,037, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:54:15,982, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:54:16,435, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 00:54:52,912, function: plot_bar, module: data_viz, message: bar plot successfully created 

time: 2022-05-24 00:55:17,773, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:59:53,234, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:59:53,356, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:59:53,470, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:59:53,801, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:59:53,915, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:59:56,195, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:59:56,395, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:07:34,568, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:07:35,094, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:07:35,308, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:07:35,901, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:07:36,110, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:07:38,068, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:07:38,242, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:07:40,125, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 01:07:41,713, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:07:43,505, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:08:15,468, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:08:49,172, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:08:50,611, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 01:08:51,132, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 02:42:06,919, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 02:42:06,919, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 02:42:16,372, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 02:42:16,372, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 02:42:24,028, function: compare_binom_dist, module: data_viz, message: double binomial distribution successfully created 

time: 2022-05-24 02:42:24,028, function: compare_binom_dist, module: data_viz, message: double binomial distribution successfully created 

time: 2022-05-24 02:43:53,139, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 02:43:53,139, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 02:47:06,406, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 02:47:06,406, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 02:47:06,406, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 02:47:15,626, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 02:47:15,626, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 02:47:15,626, function: binom_distribution, module: data_viz, message: binomial distribution successfully plotted 

time: 2022-05-24 02:47:22,880, function: compare_binom_dist, module: data_viz, message: double binomial distribution successfully created 

time: 2022-05-24 02:47:22,880, function: compare_binom_dist, module: data_viz, message: double binomial distribution successfully created 

time: 2022-05-24 02:47:22,880, function: compare_binom_dist, module: data_viz, message: double binomial distribution successfully created 

time: 2022-05-24 02:48:31,033, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 02:48:31,033, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 02:48:31,033, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:38:13,838, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:38:14,089, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:38:14,207, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:38:15,173, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:38:15,504, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:38:18,205, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:38:18,614, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:38:21,245, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 09:38:23,645, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:38:25,882, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:39:10,742, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:39:50,058, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:39:51,565, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 09:39:51,990, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 09:56:13,200, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 10:33:40,288, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:14:33,305, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:15:16,067, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:18:09,954, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:31:23,871, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:31:24,651, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:31:24,876, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:31:25,586, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:31:25,846, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:31:28,583, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:31:28,709, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:31:29,838, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 11:31:32,314, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:31:34,766, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:32:11,853, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:32:58,419, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:33:00,533, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:33:01,772, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 11:43:31,496, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:44:22,696, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:44:22,928, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:44:23,044, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:44:23,717, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:44:24,061, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:44:26,474, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:44:26,605, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:44:28,384, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 11:44:30,308, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:44:32,072, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:45:06,807, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:45:41,871, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:45:43,312, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:45:43,837, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 11:47:03,636, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:54:45,473, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:54:45,722, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:54:45,854, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:54:46,419, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:54:46,730, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:54:50,481, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:54:50,667, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:54:52,894, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 11:54:55,454, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:54:58,146, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:55:47,381, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:56:42,455, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:56:44,389, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:56:45,013, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 12:02:46,554, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:05:08,991, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:06:51,864, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:06:52,373, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:06:52,512, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:06:53,000, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:06:53,321, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:06:56,916, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:06:57,040, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:06:57,881, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 12:07:00,309, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:07:02,949, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:07:47,092, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:08:31,987, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:08:33,669, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:08:34,167, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 12:08:50,826, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:11:31,781, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:11:34,723, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:12:53,212, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:12:53,479, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:12:53,655, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:12:54,398, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:12:54,679, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:12:57,454, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:12:57,665, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:12:58,787, function: plot_box2, module: data_viz, message: box plot successfully created 

