2022-05-24 00:09:29,894 : binom_distribution : data_viz : binomial distribution successfully plotted
2022-05-24 00:09:39,897 : binom_distribution : data_viz : binomial distribution successfully plotted
2022-05-24 00:09:46,800 : compare_binom_dist : data_viz : double binomial distribution successfully created
2022-05-24 00:11:19,505 : plot_bar : data_viz : bar plot successfully created
2022-05-24 00:11:42,865 : summ_columns : data_viz : summary successfully created
time: 2022-05-24 00:34:33,894, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:34:34,161, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:34:34,352, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:34:35,099, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:34:35,431, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:34:37,862, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:34:38,065, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:34:38,937, function: plot_box2, module: data_viz, message: box plot successfully created 

time: 2022-05-24 00:34:40,629, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:34:42,471, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:35:23,113, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:36:06,011, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:36:07,364, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 00:36:07,930, function: plot_box2, module: data_viz, message: box plot successfully created 

